RowKey,title,latin_title,classes,order,description,image_src,image_alt,PartitionKey,spread_note,biotop,biotopes_note,food,food_note,proportions,reproduction,attractions,projects_note,breeding,localities_title,localities_url
155,Kachna patagonská,Anas (Lophonetta) specularioides,Ptáci (Aves),Vrubozobí (Anseriformes),"Má celkově hnědo-béžové zbarvení s tmavším temenem, světlou přední stranou krku a tmavým hřbetem. Poznáte ji podle štíhlé postavy i krku a hlavně podle malé chocholky v týle.

 ",https://zoopraha.cz/images/lexikon-images/kachna_patagonska_-_snapp3r_-_CC_BY-ND_2.0_-_Flickr.jpg,"Kachna patagonská, foto: Snapp3r",Jižní Amerika,nejjižnější části Jižní Ameriky včetně Falklandských ostrovů,travnaté území,"mokřady, bažiny, jezera, laguny i mořské pobřeží",bezobratlí,"vodní bezobratlí (měkkýši, hmyz a jeho larvy, korýši), vodní řasy","délka 51–61 cm, hmotnost okolo 1 kg","Samice snáší 5–8 vajec, na kterých sedí 30 dnů.","Kachny patagonské neboli vlasaté mají velmi vyvinuté teritoriální chování, své území si hájí i vůči jiným druhům ptáků. Hnízdo staví na zemi ve vegetaci, na vejcích sedí pouze samice, o mláďata pečují oba rodiče.",," 
První kachna patagonská žila v zoo v letech 1984−2000. Jednalo se o samici, ke které přišel v roce 1990 samec. V roce 1992 byla poprvé úspěšně odchována mláďata. Také současný pár – samice z plzeňské zoo a samec pocházející ze Zoo Drážďany – se stal rodiči několika mláďat.
 ",Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
156,Kachnice bělohlavá,Oxyura leucocephala,Ptáci (Aves),Vrubozobí (Anseriformes),"Vyznačuje se typicky schodovitě uspořádanými ocasními pery, která při plavání na hladině vztyčuje kolmo k tělu. Snadno ji poznáte i podle zobáku s vysokým hrbolem u kořene.
",https://zoopraha.cz/images/lexikon-images/Kachnice_belohlava_-_Jiri_Trojanek.jpg,"Kachnice bělohlavá, foto: Jiří Trojánek, Zoo Praha",Evropa,nesouvislý areál od Španělska na východ po Čínu,travnaté území,"malá jezera, rybníky, močály, laguny",bezobratlí,"části vodních rostlin, vodní bezobratlí","délka 43–48 cm, rozpětí křídel 62–70 cm, hmotnost 0,5–0,8 kg","Snáší 5–8 vajec, sedí na nich 22–24 dny.","Létá nemotorně a ztěžka, je proto snadným cílem lovců. Mimo dobu hnízdění se sdružuje do početných hejn. Během hnízdění jsou dočasně monogamní, samec láká samici zvláštními chřestivými zvuky. Hnízdo buduje v hustém pobřežním porostu a často nad ním dělá „stříšku“ z ohnutých listů.","Populace kachnice bělohlavé se zdá být v současné době stabilizovaná, přesto je v Červeném seznamu IUCN zařazena jako ohrožený druh. Po silném poklesu početního stavu v předchozích několika desetiletích, kdy téměř zmizela především ve Středomoří, žije dnes na světě okolo 8–13 tisíc kachnic. Tuto situaci dokresluje příklad populace ve Španělsku. V padesátých letech zde hnízdilo okolo 400 ptáků, zatímco o 20 let později klesl jejich počet na pouhé 22 kusy. V roce 2006 jich však ve Španělsku díky důsledné ochraně hnízdišť opět žilo přes 2500. Největší nebezpečí pro kachnici bělohlavou představuje především mizení vhodného životního prostředí a intenzivní lov na zimovištích. Ohrožena je i křížením s americkou kachnicí kaštanovou, která byla kdysi dovezena do Anglie a odtud expandovala do jihoevropských zemí."," 
První pár kachnic přišel v roce 1998. V letech 2002−2004 nastala v důsledku srpnové povodně krátká přestávka a chov byl obnoven příchodem dvou párů. V roce 2013 se podařilo odchovat první mládě.
 ",Ptačí svět,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/5807-ptaci-svet
157,Kachnička šedoboká,Callonetta leucophrys,Ptáci (Aves),Vrubozobí (Anseriformes),"Po celý rok jsou samci zbarvení poměrně výrazně – mají světlou hlavu s černým pruhem přes čelo a temno až do zátylku, rezavý až olivově hnědý hřbet, šedé boky a narůžovělou hruď s černými skvrnkami. Samice jsou méně pestré. Obě pohlaví mají černý ocas, světlý kostřec a kontrastní bílou skvrnu na křídlech.

 
 ",https://zoopraha.cz/images/lexikon-images/Kachnicka_sedoboky4_Rosicky.jpg,"Kachnička šedoboká, foto: Petr Rošický, Zoo Praha",Jižní Amerika,střední Jižní Amerika východně od And,tropický les,"tropické bažinaté lesy, močály a lesní jezera",části rostlin,různé části rostlin,"délka 35−38 cm, hmotnost 190−360 g","Snáší 6–12 vajec, sedí na nich 26–28 dnů.","Vzhledem ke skrytému způsobu života v neprostupných lesích víme o jejím životě velmi málo, údaj o době inkubace je z chovů. Žije v párech nebo malých skupinách. Hnízdí v dutinách stromů nebo ve starých hnízdech jiných druhů ptáků, což je pro plovavé kachny dost netypické. Odborníci ovšem zatím nemají jasno, jako jsou vlastně příbuzenské vztahy této úhledné kachničky. Je možné, že má blíž k husovcům než k typickým kachnám. Svědčí o tom i pozorování z chovu v lidské péči – o mláďata pečují oba rodiče, což je právě pro husovce charakteristické. Na vejcích ale sedí jen samice. ",,,Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
158,Kajmanka supí,Macrochelys temminckii,Plazi (Reptilia),Želvy (Chelonia),"Je to největší sladkovodní želva na světě. Na hřbetní části krunýře (karapaxu) má tři řady vystouplých štítků, velkou hlavu a silné čelisti. Oči jsou posazené po stranách hlavy.

 
 ",https://zoopraha.cz/images/lexikon-images/kajmanka_supi_-_Garry_Tucker__USFWS_-_CC_BY_2.0_-_Flickr.jpg,"Kajmanka supí, foto: Garry Tucker",Jižní Amerika,"od severní Floridy po jižní Georgii a podél Mexického zálivu po Texas, severně po Illinois a Kansas",sladké vody,": stojaté vody, tůně, mokřiny",živá kořist,vodní živočichové,"délka krunýře až 70 cm, délka ocasu až 50 cm, hmotnost 20–80 (100) kg","počet vajec 9–61, inkubace 84–142 dny","Většinu času tráví nehybně v mělké vodě a číhá na ryby i různé jiné živočichy. Vydrží pod vodou na jedno nadechnutí až 50 minut a zůstává tak nehybná, že jí na krunýři mohou růst řasy a přispívat k jejímu maskování. Kořist láká na zvláštní návnadu: na špičce jazyka má pohyblivý červovitý výrůstek, který je pro ryby neodolatelný. I když kajmanka (stejně jako všechny želvy) nemá zuby, dovede ostrými hákovitými čelistmi pevně chytit i kluzkou rybu. Každý chovatel si na ně musí dát pozor, protože kajmanka je neobyčejně hbitá a větší želva by mohla člověku překousnout prst. V noci úkryt opouští a vydává se hledat i jinou potravu, například zdechliny. Samice zahrabává vejce do písku ve vzdálenosti do 50 m od vody.
","Kajmanka dravá je v Červeném seznamu IUCN vedena jako zranitelný druh, a to především v důsledku lovu."," 
První dvě kajmanky přišly do zoo v letech 1955 a 1956 a žily tu více než 40 let. Mezitím jsme získali dvě samice – v roce 1995 z Kolína n. R. a v roce 1996 z Curychu. Obě jsou v zoo dodnes. V roce 2006 dorazil z brněnské zoo také samec a již v roce 2010 jsme se dočkali prvních dvou mláďat. Třetí mládě se vylíhlo v roce 2012.
 ",Terárium,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5814-terarium
159,Kaloň egyptský,Rousettus aegyptiacus,Savci (Mammalia),Letouni (Chiroptera),"Je to středně velký kaloň s hnědým až šedým hřbetem, světlejším břichem a žlutavým límcem. Létací blány jsou šedočerné. 
",https://zoopraha.cz/images/lexikon/kaloň_egyptský_5.jpg,"Kaloň egyptský, foto: archiv Zoo Praha",Asie,"Afrika, Blízký východ, Asie po Pákistán",listnatý a smíšený les,"různé typy lesů, jeskyně",plody,"zralé plody (moruše, fíky apod.)","délka těla 15−17 cm, délka ocasu 6−19 mm, rozpětí 60 cm, hmotnost 80−170 g",Samice je březí 4 měsíce a rodí 1 mládě.,"Jsou to pospolití savci, kteří žijí v koloniích od 20 do několika tisíc jedinců. Ve dne odpočívají v jeskyních a podobných vlhkých a tmavých místech, v noci vylétají hledat potravu. Orientují se nejen zrakem, ale částečně také pomocí ultrazvuků (echolokací), i když ne tak dokonale jako netopýři. Zvuky vydávají jazykem a ozvěnu zachytí boltci. V době rozmnožování se partneři lákají pomocí pachových signálů. Samice nosí nejprve mládě na břiše, později ho odkládá do jakési „školky“, kde jsou mláďata dalších samic z kolonie.",," 
Kaloně egyptské chováme od roku 2004, i když v polovině 50. let prošli zoologickou zahradou „tranzitní“ kaloni, o jejichž dalším osudu se záznamy nedochovaly.
 ",Pavilon Indonéská džungle ,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5828-indoneska-dzungle
160,Kaloň rodriguezský,Pteropus rodricensis,Savci (Mammalia),Letouni (Chiroptera),"Díky zlatavé srsti na přední části těla se mu říká ""zlatý kaloň"".
",https://zoopraha.cz/images/lexikon/Kaloň_rodriguezský.jpg,"Kaloň rodriguezský, foto: archiv Zoo Praha",Afrika,"ostrovy Mauritius, Round Island a Rodrigues",tropický les,souvislé tropické lesy,plody,"měkké plody, nektar, pyl","délka těla 15-20cm, rozpětí křídel 50-90 cm, hmotnost 300-350 g",Samice je březí 120–180 dní a rodí 1 mládě.,"Sdružuje se do menších kolonií, které společně během dne odpočívají v korunách stromů. Kaloni jsou aktivní hlavně ráno a večer.","Kaloni hrají v ekosystémech velmi důležitou roli, protože pomáhají opylovat stromy a šířit jejich semena. V případě ostrovních druhů však hrozí kaloňům stále větší nebezpečí vyhubení. To platí i pro kaloně rodriguezského. Na prvních dvou již vymizel a přežívá jen na posledním. V 70. letech 20. století klesly stavy kaloňů rodriguezských v důsledku tajfunu na posledních 70 jedinců. Díky intenzivní ochraně a záchrannému chovu ex-situ se podařilo kaloně rozmnožit a dnes jich na světě žijí téměř 2 000. Významný podíl na tom má Durellova zoo na New Jersey."," 
Kaloně rozdiguezské chováme od roku 2008. V zimě obývají společný prostor s želvami obrovskými a sloními, v létě jsou v zázemí.
 ",Pavilon velkých želv,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5813-pavilon-velkych-zelv
161,Kaložrout skvrnitý,Scatophagus argus,Ryby paprskoploutvé (Actinopterygii),Ostnoploutví (Perciformes),"Má vysoké, ploché tělo, stříbřité zbarvení a četné tmavé skvrnky.

 
 ",https://zoopraha.cz/images/lexikon-images/kalozrout_skvrnity.jpg,"Kaložrout skvrnitý, foto: Tereza Mrhálková, Zoo Praha",Austrálie,Kuindo-australská oblast,sladké vody,"moře, smíšené a sladké vody",bezobratlí,"části rostlin, bezobratlí, detrit (uszaené organické zbytky)",délka těla až 35 cm,"Kladou jikry na kameny, o potomky pečují oba rodiče.","Patří k rybám často chovaným v akváriích. Dokáže se přizpůsobit i kolísající salinitě vody. Potěr obývá spíše sladké vody, poté se stěhuje do moře. V přední části hřbetní ploutve má jedové ostny, kterými může způsobit bolestivé zranění.",,Tento druh chováme od roku 2004 v brakickém akváriu v pavilonu Indonéská džungle.,Pavilon Indonéská džungle ,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5828-indoneska-dzungle
162,Kančil černavý,Tragulus nigricans,Savci (Mammalia),Sudokopytníci (Artiodactyla),"Má hnědočerné zbarvení s bílými pruhy a skvrnami na hrdle a hrudi. Nad očima má rezavé „obočí“, které kontrastuje s jinak tmavým zbarvením. Typický je nahrbený hřbet a tenké nohy.
",https://zoopraha.cz/images/lexikon/kancil_cernavy.jpg,"Kančil černavý, foto: archiv Zoo Praha",Asie,"jihovýchodní Asie - Filipíny – ostrovy Balabac, Bugsuc a Ramos",tropický les,nížinné lesy a křoviny,plody,"listy, výhonky, plody","délka těla 40–50 cm, délka ocasu 2,5−3 cm, výška v kohoutku 18 cm, hmotnost 1,5−2 kg","březost 140–177 dní, počet mláďat 1","Kančilové jsou miniaturní sudokopytníci, kteří žijí v několika druzích v jihovýchodní Asii. Malé rozměry z nich činí snadnou kořist pro mnoho predátorů, proto žijí velice skrytě. Ve dne se ukrývají v podrostu a teprve s příchodem noci vycházejí na mýtiny, kde se pasou. Jsou to samotáři. Samci jsou vybaveni dlouhými špičáky, které používají při obraně a vzájemných soubojích. ","Kančil černavý je zařazen do Červené knihy IUCN jako ohrožený druh. Důvodem je jednak miniaturní areál (žije už jen na třech ostrůvcích, z nichž ten největší, Balabak, měří na délku necelých 35 km), v němž kančilovo přirozené prostředí ustupuje kokosovým plantážím, jednak lov pro maso. Z obou těchto důvodů stavy kančilů v přírodě klesají – místní lovci tvrdí, že dnes je mnohem těžší ulovit „pilandoku“, jak mu říkají, než tomu bylo ještě před patnácti lety.","V pražské zoo spatříte kančily černavé v jedné z nočních expozic pavilonu Indonéská džungle.
Jsme jednou z mála zoologických zahrad mimo Filipíny, která tyto drobné půvabné sudokopytníky chová. Pár přišel z vratislavské zoo v roce 2011. V roce 2013 byla odchována tři mláďata, z nichž první se vrátilo zpět do Vratislavi, a dvě zůstala v Praze.",Pavilon Indonéská džungle ,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5828-indoneska-dzungle
163,Karetka novoguinejská,Carettochelys insculpta,Plazi (Reptilia),Želvy (Chelonia),"Karetky se mořským karetám podobají jen plochými veslovitými končetinami přizpůsobenými pro život ve vodě, jinak jim však nejsou příbuzné. Mnohem blíže mají ke kožnatkám, o čemž svědčí i kůže, která překrývá tvrdý plochý krunýř, a prodloužené nozdry
",https://zoopraha.cz/images/lexikon-images/Karetka_novoguinejska2.jpg,"Karetka novoguinejská, foto: Tereza Mrhálková, Zoo Praha",Austrálie,severní Austrálie a jižní Nová Guinea,sladké vody,řeky a jezera,plody,"vodní živočichové, plody","délka krunýře 50–60 cm, hmotnost až 20 kg","počet vajec 15–30, inkubace 80–120 dní","Nejraději zdržuje ve stojatých nebo jen mírně proudících vodách a nevadí jí ani, když řeka či tůň dočasně vyschne. Jednoduše se zahrabe do písku a ve stavu strnulosti čeká, až voda opět stoupne.","Karetka je v Červeném seznamu IUCN vedena jako zranitelný druh, a to především v důsledku nadměrného lovu pro maso.","Karetky, které přišly poprvé v roce 2003, žijí v zoo dodnes. Jejich počty postupně posílili další jedinci, které jsme získali v letech 2006 a 2010.",Pavilon Indonéská džungle ,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5828-indoneska-dzungle
164,Kasuár přilbový,Casuarius casuarius,Ptáci (Aves),Pštrosi (Struthioniformes),"Při prodírání a rychlém pohybu houštinami jim jako ochrana boků slouží několik tvrdých a os-trých per, která rostou na zakrnělých křídlech. V případě ohrožení se brání silnýma nohama s prsty zakončenými mohutnými drápy. Kopanec od kasuára může přitom být pro středně velké živočichy smrtelný. Mláďata jsou po vylíhnutí světlá, s tmavými podélnými proužky. V prvním roce života se zbarví skořicově a teprve ve třech letech mají stejně černé peří, červenomodrou kresbu na krku a hlavě a kostěnou přilbu jako dospělí.
",https://zoopraha.cz/images/lexikon/kasuar_prilbovy.jpg,"Kasuár přilbový, foto: archiv Zoo Praha",Austrálie,"Nová Guinea, Ceram, severovýchodní Austrálie",tropický les,"hustý podrost tropických lesů, příležitostně blahovičníkové lesy a křovinatá savana",plody,"hlavně plody, také výhonky","délka těla 1,3–1,7 m, ocas nemá, křídlo zakrnělé, hmotnost 25–58 kg","počet vajec 2–5, inkubace 50 dní","V horní části zoo najdete pár velkých nelétavých ptáků kasuárů přilbových. Po většinu roku žijí samec a samice samotářsky, a tak má každý z nich vlastní výběh. Kasuáři obývají hustý lesní podrost a živí se rostlinnou potravou. plody polykají celé, a patří tak k významným šiřitelům semen mnoha keřů a stromů. Při prodírání a rychlém pohybu houštinami jim jako ochrana boků slouží několik tvrdých a ostrých per, která rostou na zakrnělých křídlech. V případě ohrožení se brání silnýma nohama s prsty zakončenými mohutnými drápy. Kopanec od kasuára může být pro středně velké živočichy smrtelný. Stejně jako je tomu u jiných běžců, i u kasuára obstarává veškerou rodičovskou péči výhradně samec. Nejprve připraví v úkrytu na zemi hnízdo. Do něj samice jen snese vejce a pak se vrátí ke svému samotářskému životu. Samec po celou dobu sezení na vejcích nepřijímá potravu a po vylíhnutí mláďata vodí a brání je.",Kasuár je v Červeném seznamu IUCN veden jako zranitelný druh. Je ohrožován úbytkem souvislých lesů.,"V pražské zoo se objevovali kasuáři opakovaně už od roku 1954. V roce 1989 přišla samice Káče a v roce 1991 samec Kašík. Tento pár žije v zoo i dnes. První odchov se podařil v roce 1998 a od té doby náš samec Kašík, známý z kampaně Seznamte se!, odchoval již celkem čtyři mláďata.",Horní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8661-horni-cast-arealu
165,Ketupa malajská,Bubo ketupu,Ptáci (Aves),Sovy (Strigiformes),"Ketupy se velikostí i zřetelnými chvostky na hlavě podobají výrům, jsou však štíhlejší, nemají opeřené prsty ani běháky a létají na sovy poměrně hlučně. Zvolna přeletují nad hladinou a chytají kořist silnými prsty s rohovinovými lištami a dlouhými drápy.
",https://zoopraha.cz/images/lexikon/ketupa_malajska.jpg,"Ketupa malajská, foto: archiv Zoo Praha",Asie,jihovýchodní Asie,sladké vody,"klidné vody, světlé lesy",ryby,vodní živočichové,"délka těla 22–26 cm, délka ocasu 16–18 cm, rozpětí křídel 120 cm, hmotnost 1–1,2 kg","počet vajec 1(2), inkubace 28–29 dní","Dříve se ketupám říkalo sovy rybí, protože loví hlavně vodní živočichy, od ryb po kraby. Zdržují se výhradně v blízkosti klidnějších sladkých vod. Zvolna přeletují nad hladinou a chytají kořist silnými prsty s rohovinovými lištami a dlouhými drápy. Někdy také procházejí na mělčině a sbírají kraby nebo měkkýše.",,"Ketupy byly v zoo chovány jednak v letech 1972−1993, jednak nově od roku 2002, kdy přišel pár z volné přírody. O mnohem hlubších znalostech problematiky chovu svědčí fakt, že již v roce 2009 bylo úspěšně odchováno první mládě, které dostalo symbolické jméno Evropa. Další odchovy následovaly v roce 1010, 2012 a 2014.",Dolní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8660-dolni-cast-arealu
166,Kiang východní,Kiang,Savci (Mammalia),Lichokopytníci (Perissodactyla),"
Má světle rezavé až hnědé zbarvení srsti, břicho, nohy a přední strana krku jsou bílé. Středem hřbetu se táhne tmavý pruh, hříva je krátká, vztyčená a tmavá.

 
",https://zoopraha.cz/images/lexikon-images/_TTT1203.jpg,"Foto: Tomáš Adamec, Zoo Praha",Asie,"Tibetská náhorní plošina v polohách 2 700−5 400 m n. m. – Čína, také Pákistán, Indie, Nepál a zřejmě i Bhútán; kiang východní se vyskytuje v čínských provinciích Quinghai a jihozápadní Xinjiang.",kamenité stepi a polopouště,"stepi, náhorní plošiny",části rostlin,"tráva, byliny","délka těla 2,1 m, délka ocasu 40 cm, výška v kohoutku 1,3–1,5 m, hmotnost 250–400 kg","březost 12 měsíců, počet mláďat 1","Drsné středoasijské stepi obývá několik druhů divokých oslů, mezi něž patří také kiang. Jeho domovinou jsou náhorní plošiny Tibetu, kde v nadmořských výškách kolem 4 000 m n. m. klesají v zimě teploty pod -40 °C. Základem stád jsou samice a mláďata. Hřebci jsou teritoriální a hlídají si klisny, které na jejich území žijí. Mladí samci se často sdružují do mládeneckých stád, dokud si nenajdou své vlastní teritorium. Novorozený kiang je schopen už za hodinu následovat svou matku, od které se v prvních dnech vůbec nevzdaluje. Kiangové vytvářejí tři poddruhy, kiang východní je z nich největší. ",,"Jeden hřebec kianga žil v zoo v letech 1961−1971. Pak nastala dvacetiletá přestávka, až v roce 1991 byl chov obnoven.",Horní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8661-horni-cast-arealu
167,Kladivouš africký,Scopus umbretta,Ptáci (Aves),Brodiví (Ciconiiformes),"Kladivouš by mohl vzhledem k hnědému zbarvení a střední velikosti ujít pozornosti, nebýt nápadné chocholky na hlavě, která mu vysloužila i české jméno.
",https://zoopraha.cz/images/lexikon-images/kladivous_africky1_Rosicky.jpg,"Kladivouš africký, foto: Petr Rošický, Zoo Praha",Afrika,"Afrika na jih od Sahary, Madagaskar, jihozápadní Arábie",travnaté území,"buš, lesnatá savana, okolí sladkých vod",živá kořist,menší živočichové,"délka těla 32−40 cm, délka ocasu 15−16 cm, délka křídla 30−31,5 cm, hmotnost 415−430 g","Samice snáší 3-7 vajec, inkubace trvá 28–32 dny.","Tento brodivý pták nezapře příbuznost s volavkami – loví velmi podobně: nehybně číhá na kořist a pak bleskurychle zaútočí ostrým zobákem. Budují obrovité zastřešené hnízdo o průměru až 1,5 m, s vletovým otvorem dole a více než půlmetrovou vstupní chodbou. Postaví jich většinou několik a nepoužívaná hnízda obsazují ženetky, sovy i jiní živočichové.",,Kladivouši byli chováni již v 70. a 80. letech minulého století a v roce 1976 se dokonce podařilo úspěšně odchovat mládě. V letech 1993 až 2010 nastala v chovu přestávka a noví jedinci dorazili v souvislosti s otevřením expozice Ptačí mokřady. V roce 2012 začali hnízdit.,Ptačí mokřady,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/expozicni-celky/1685-ptaci-mokrady
168,Klokan bažinný,Wallabia bicolor,Savci (Mammalia),Málozubí (Diprotodontia),"
Má typický „klokanovitý“ vzhled. Přední pětiprsté končetiny jsou krátké a slabé a slouží hlavně k manipulaci s potravou. Zadní nohy jsou silné, palec je zakrnělý a ostatní prsty jsou částečně srostlé. Nejdelší a nejsilnější je čtvrtý prst. Toto uspořádání je adaptací pro dlouhé a vysoké skoky, ke kterým se klokani uchylují, když prchají před nebezpečím. Klokan bažinný má tmavohnědou srst, tmavší končetiny a ocas, světlejší žlutavé břicho a často žlutý proužek na tvářích.

 
",https://zoopraha.cz/images/lexikon-images/97_-_klokan_bazinny_-_Tomas_Adamec_-__TTT0676.jpg,"Foto: Tomáš Adamec, Zoo Praha",Austrálie,jihovýchodní Austrálie,tropický les,"zarostlé mokřiny, hustý lesní podrost",části rostlin,"tráva, byliny, keře, semenáčky stromů i houby","délka těla 67–84 cm, ocas 64–86 cm, výška průměrně 70 cm, hmotnost 10,5–20 kg","Samice je březí 33–38 dní a rodí 1 mládě, které nosí 8–9 měsíců ve vaku.","Na rozdíl od jiných klokanů vyhledává poměrně běžně ochlazení ve vodě. Má pestrý jídelníček a bez újmy žere i některé pro člověka jedovaté rostliny. Samice může znovu zabřeznout už osm dní předtím, než porodí předchozího potomka.",,Chováme ho od roku 2013.,Horní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8661-horni-cast-arealu
169,Klokan Bennettův,Macropus rufogriseus rufogriseus,Savci (Mammalia),Málozubí (Diprotodontia),"Je to středně velký klokan s šedobéžovou srstí, bělavým břichem a hrudí a narezlou šíjí a rameny. Ocas je svrchu šedý a zespodu bílý, prsty černé. Typické jsou poměrně dlouhé ušní boltce.
",https://zoopraha.cz/images/lexikon/klokan_Bennettův_4.jpg,"Klokan Bennettův, foto: archiv Zoo Praha",Austrálie,Tasmánie,listnatý a smíšený les,"otevřená krajina, křoviny, lesy",části rostlin,"různé části rostlin, hlavně tráva a výhonky","délka těla 65–92 cm, délka ocasu 55–88 cm, hmotnost 12–27 kg",Samice je březí 30 dní a rodí 1 mládě.,"Jedná se o poddruh klokana rudokrkého. Je dosti otužilý a snáší nízké teploty díky husté srsti na celém těle i na ocase. Bývá chován i v parcích a oborách. Často vytváří albinotické jedince s bílou srstí a modrýma očima. V dospělosti žijí klokani Bennetovi spíš samotářsky a jen občas vytvoří volné seskupení až 30 zvířat. 
Stejně jako ostatní vačnatci se vyznačují některými zajímavostmi. Samice mají vyvinuté dvě pochvy a dvě dělohy, které jsou funkční střídavě během následujících období rozmnožování. Ovšem v době březosti se jim vytváří ještě třetí pochva (samozřejmě bez dělohy), která slouží jako porodní cesta. Proto je samice klokana schopná vychovávat několik různě starých potomků současně. Zatímco právě oplodněné vajíčko čeká v klidovém stavu ve vejcovodu (tomuto období říkáme diapauza), starší vajíčko se vyvíjí v děloze. Další generace, je představována mládětem, které je již přisáté ve vaku. Zároveň samice dosud přikrmuje odrostlé mládě, jež se do vaku nevejde.",,"První klokani rudokrcí (bez určení poddruhu) zamířili do Prahy z Anglie. V roce 1946 to byl pár klokanů z londýnské zoo, který vzápětí přivedl na svět první mládě. V 50. letech následovali další jedinci z Whipsnadu. Někteří z jejich potomků putovali v rámci výměny i do Pekingu (rok 1956). Od roku 1970 let jsme tyto klokany nechovali, noví jedinci, patřící k poddruhu M. r. rufogriseus, přišli v roce 2003.",,
170,Klokan horský východní,Macropus robustus robustus;,Savci (Mammalia),Málozubí (Diprotodontia),,https://zoopraha.cz/images/lexikon-images/IMG_3783.jpg,"Klokan horský východní, foto: Antonín Vaidl, Zoo Praha",Austrálie,východní Austrálie,travnaté území,"skaliska, strže, rokle, méně i travnaté pláně",části rostlin,"tráva, listy keřů, výhonky","celková délka 1,1-1,9 m, z toho ocas 54-90 cm, hmotnost samic průměrně 16 kg, samců 35 kg (rekordně až 50 kg)","Samice je březí 32 dny a rodí 1 mládě, které nosí ve vaku 8-9 měsíců.","Je jedním z mála klokanů, u kterého lze podle barvy srsti určit pohlaví. Dokáže přečkat dlouhé měsíce bez pití, jen s vodou získanou z potravy. Úkryt před největší denní výhní nachází pod skalními převisy a ve skalních dutinách, které si samci brání před rivaly a tolerují v nich nanejvýš samice.",,Klokany horské chováme od roku 2013.,Horní část zoo,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/areal/8661-horni-cast-arealu
171,Klokan novoguinejský,Dorcopsis muelleri,Savci (Mammalia),Málozubí (Diprotodontia),,https://zoopraha.cz/images/lexikon/klokan_novoguinejsky_foto_Tomas_Adamec.jpg,"Klokan novoguinejský,  foto: Tomas Adamec, Zoo Praha",Austrálie,západní Nová Guinea a některé přilehlé ostrovy,tropický les,"bažinaté tropické nížinné lesy, staré zahrady",bezobratlí,"tráva, výhonky, občas i hmyz","délka těla 60−77 cm, délka ocasu 46−53 cm, hmotnost průměrně 5 kg",Samice je březí 30 dní a rodí 1 mládě.,Je aktivní za šera a v noci. Samci svádějí v době námluv ritualizované souboje.,,Chováme je od roku 2010.,Pavilon Indonéská džungle ,http://www.zoopraha.cz/zvirata-a-expozice/kam-v-zoo/pavilony/5828-indoneska-dzungle
